target_screen_name,target_party,target,source,source_party,label,weight
AkbulutGokay,The Left,11,402,The Left,Pascal Meiser,1
AkbulutGokay,The Left,11,448,The Left,Simone Barrientos,3
AkbulutGokay,The Left,11,490,The Left,Sylvia Gabelmann,1
AkbulutGokay,The Left,11,516,The Left,Tobias Pflüger,1
AkbulutGokay,The Left,11,79,The Left,Christine Buchholz,1
AkbulutGokay,The Left,11,90,The Left,Cornelia Möhring,1
AKulitz,FDP,12,141,FDP,Michael Theurer,1
AKulitz,FDP,12,149,FDP,FDP Bundestag,3
AKulitz,FDP,12,428,FDP,Hagen Reinhold,1
alexander_throm,CDU,13,123,CDU,Andreas Nick,1
alexander_throm,CDU,13,371,CDU,Sepp Müller,1
alexander_throm,CDU,13,376,CDU,Norbert Röttgen,2
alexander_throm,CDU,13,388,CDU,Nina Warken,1
alexander_throm,CDU,13,426,CDU,Ralph Brinkhaus,1
alexander_throm,CDU,13,479,CDU,Sebastian Steineke,1
alexander_throm,CDU,13,498,CDU,Thomas Bareiß,2
alexander_throm,CDU,13,547,CDU,Marco Wanderwitz,1
alexander_throm,CDU,13,77,CDU,CDU CSU Bundestag,8
alexander_throm,CDU,13,86,CDU,Christoph Ploß,1
AlexanderSNeu,The Left,15,109,The Left,Diether Dehm,1
AlexanderSNeu,The Left,15,15,The Left,Alexander Neu,1
AlexanderSNeu,The Left,15,22,The Left,Andreas Wagner (politician),10
AlexanderSNeu,The Left,15,28,The Left,Andrej Hunko,1
AlexanderSNeu,The Left,15,297,The Left,Sören Pellmann,1
AlexanderSNeu,The Left,15,298,The Left,Die Linke Bundestag,36
AlexanderSNeu,The Left,15,555,The Left,Zaklin Nastic,1
alexmuellerfdp,FDP,17,1,FDP,Martin Neumann,2
alexmuellerfdp,FDP,17,142,FDP,Frank Schäffler,3
alexmuellerfdp,FDP,17,149,FDP,FDP Bundestag,5
alexmuellerfdp,FDP,17,189,FDP,Gyde Jensen,1
alexmuellerfdp,FDP,17,205,FDP,Markus Herbrand,1
alexmuellerfdp,FDP,17,212,FDP,Christoph Hoffmann,2
alexmuellerfdp,FDP,17,225,FDP,Jens Brandenburg,4
alexmuellerfdp,FDP,17,246,FDP,Jürgen Martens,1
alexmuellerfdp,FDP,17,335,FDP,Marie-Agnes Strack-Zimmermann,3
alexmuellerfdp,FDP,17,341,FDP,Matthias Nölke,1
alexmuellerfdp,FDP,17,398,FDP,Oliver Luksic,3
alexmuellerfdp,FDP,17,413,FDP,Peter Heidt,1
alexmuellerfdp,FDP,17,428,FDP,Hagen Reinhold,7
alexmuellerfdp,FDP,17,433,FDP,Bernd Reuther,1
alexmuellerfdp,FDP,17,446,FDP,Sandra Weeser,1
